id	199700	199701	199710	199711	199720	199721	199730	199731	199800	199801	199810	199811	199820	199821	199830	199831	199900	199901	199910	199911	199920	199921	199930	199931	200000	200001	200010	200011	200020	200021	200030	200031	200100	200101	200110	200111	200120	200121	200130	200131	200200	200201	200210	200211	200220	200221	200230	200231	200300	200301	200310	200311	200320	200321	200330	200331	200400	200401	200410	200411	200420	200421	200430	200431	200500	200501	200510	200511	200520	200521	200530	200531	200600	200601	200610	200611	200620	200621	200630	200631	200700	200701	200710	200711	200720	200721	200730	200731	200800	200801	200810	200811	200820	200821	200830	200831	200900	200901	200910	200911	200920	200921	200930	200931	201000	201001	201010	201011	201020	201021	201030	201031	201100	201101	201110	201111	201120	201121	201130	201131	201200	201201	201210	201211	201220	201221	201230	201231
1001	62962	60562	25902	26712	32733	31823	20444	21664	65032	62602	28092	29422	33903	32923	23444	25955	67832	65552	29272	30853	36533	36063	23294	25645	67652	65432	28102	29052	37513	37133	20634	21274	72332	69182	31073	32553	39863	39603	23694	25395	79352	77422	34883	37053	41914	41524	29005	32546	83512	80942	37653	40334	47354	47514	27885	30976	89732	87462	38823	41974	51375	52045	29305	32816	91683	89272	38943	41514	51625	51825	29075	31876	89262	84362	39323	41804	51095	50805	30456	33876	93383	88162	40494	42874	53425	53545	30586	33486	97573	92893	42554	45194	58395	59895	30036	32246	105523	100553	46514	49024	65286	68036	31306	32426	109773	105513	51485	54825	70667	74397	35537	37627	113793	110843	54185	58025	76307	81168	35727	37747	118243	116083	55105	58565	77097	81578	36517	38397
1003	59131	67442	20272	21262	35673	37773	14762	15353	61452	68402	22432	24412	36613	37743	17353	19643	64582	74342	23672	25802	38033	40314	18463	20574	68392	73742	23442	24052	35463	36063	18993	20544	74332	82422	25862	28592	38943	42394	21124	24574	75252	79882	26932	29282	41214	44164	21734	24964	78772	82842	29022	31783	44074	47924	23344	26965	83532	88132	30513	33703	46414	53025	24394	28195	85842	91873	32163	35263	47694	53775	26005	29955	86912	90813	31873	34363	47404	52225	25795	29515	91843	96233	33093	36193	48544	54195	26945	31296	99243	107073	33663	36383	50865	59375	26685	30146	107453	112263	36533	37703	55595	64706	28355	30306	112533	119253	39973	41804	51875	63416	33196	35797	112023	114783	43804	47374	54885	66736	37497	42118	112443	114053	45754	48094	59205	69986	38007	42158
1005	42441	25270	18891	16811	34313	33333	15463	14352	44621	27340	20192	18491	35913	35413	16693	15973	61992	48741	25052	27742	37743	38973	18243	19433	62172	51711	26002	29492	38343	39523	19283	20964	67802	54321	27722	32323	40054	41904	21354	25785	72342	60062	29502	34623	42344	44384	22754	27985	77172	65782	31743	38333	44354	48844	23954	29975	82772	70522	32783	40124	47614	53625	24824	32146	84572	71672	33563	39843	48514	53575	25395	31596	86002	68732	33903	39403	48854	52655	25565	31586	90023	71222	35073	39973	49804	53915	26395	31746	93463	75302	36033	40524	51385	57395	26325	30576	100633	81082	39773	43124	55715	62966	28945	31186	104923	87492	43974	49094	60486	70837	32176	36227	106873	91843	46204	52755	64126	76077	33266	38957	109003	94893	47974	54925	66026	79187	34496	40578
1007	63512	59351	27072	28822	39273	39783	17413	16933	66192	62002	28472	30563	40924	41394	18613	18823	68332	64262	29242	31553	42394	43344	18553	18663	66262	61212	29392	31103	42644	43314	20544	21164	71062	64462	31123	32973	42774	42924	23194	24914	76462	70902	33843	36183	45484	45574	25905	28555	82372	77312	36603	39303	49424	49854	27525	30356	88252	83682	39483	43144	53895	54965	28455	31776	98413	98503	42714	47884	58385	60466	28575	32046	94043	89592	45224	51165	57955	59505	34816	42448	97693	92583	46154	51855	59405	61056	35127	42238	100643	95193	48054	54025	63736	66786	34616	40678	109223	103933	51455	56995	68386	72097	36217	40928	115543	112653	56015	62596	73967	78967	39677	45319	117253	114433	59245	66756	78177	83958	41908	48599	119393	116293	61586	69266	82198	88758	42438	48699
1009	57571	44181	21282	19561	37583	37283	16703	15843	60262	46691	22262	20612	39063	38523	17533	16863	61702	47711	22792	21312	41134	42734	17513	16823	63202	50431	25142	24622	42204	43724	20434	20524	69002	53901	27752	27732	43864	45514	23084	23984	74532	61662	30113	30453	45384	45704	25625	27175	80332	67312	33573	34533	49134	49604	28835	31186	82882	68032	35413	36533	53055	54605	30046	32606	87032	72022	35783	36333	54435	55305	29915	32066	86582	67832	35553	35613	54035	53315	29655	31626	89952	69322	36153	35683	54115	51835	30306	32046	93943	73732	36463	35403	56455	55575	29725	30866	100703	80442	38413	36513	60736	60956	30656	30916	106943	90273	43754	43334	65916	68136	36017	37767	109033	93293	46994	47524	69546	72917	38997	41768	110683	93993	47904	48194	72087	76457	39317	41778
1011	59891	54491	24362	25452	34123	33263	18003	17823	62012	56411	25682	27452	35823	35173	19083	19903	66402	62412	27032	30073	37963	38303	18943	20634	66122	62922	27822	31093	38663	39033	19653	21164	70882	65282	29852	34043	40934	41824	21914	25545	76562	72772	32343	37423	43494	44534	24304	29735	82222	79252	34963	41534	47164	49494	24634	30116	87522	84102	36333	43864	50425	53635	25635	32116	89032	85042	36973	43644	51015	53525	26085	31486	90353	84102	37203	43254	50935	52605	26445	32036	94733	87962	38443	44184	52135	54085	27275	32306	98953	92743	39893	45694	54525	57835	27185	31116	106753	100183	43914	49194	59415	63676	29595	31666	111123	106323	48624	55555	65016	71327	32966	36707	113393	109973	51355	59675	69336	76917	33936	38917	116083	113783	53405	61966	71577	79817	35237	40458
1013	55271	44151	22512	22362	34793	33193	17403	17553	57581	46501	23882	24152	36383	34853	18653	19403	59541	48341	24912	25672	38263	37913	19153	20134	60252	49921	26072	27162	38963	38773	20644	21944	66142	53901	27982	29742	41094	41234	22594	24994	71012	59811	30213	32453	43534	43494	24694	27905	77032	65982	32763	35753	47104	48334	25885	29495	81592	70012	34173	37533	49864	52775	27335	31576	83492	71892	35033	37783	50655	52605	28045	31916	83312	67432	35283	37613	50645	51525	28425	32346	87012	70062	36373	38603	51945	53155	29225	33096	89832	73392	37033	38883	54265	57395	28845	31866	97443	79162	40084	40984	58975	63926	30576	32246	101623	84862	44334	46484	62626	70757	34496	37247	104813	90103	47504	51055	66426	76267	37257	41488	107173	92443	48804	51895	68586	78507	37927	41798
1015	30081	23530	21562	21412	31143	30173	20014	20154	34511	28170	25922	26062	32243	31173	24904	25335	36121	30031	27762	28022	48294	50375	24434	24804	47921	36341	29752	30853	36603	36293	25905	27595	53471	39251	32203	33593	39263	39163	28165	30276	56691	43331	33453	34913	42214	42234	28455	30536	72402	56011	37623	41504	45244	45224	25985	31216	76352	57701	40754	45534	49814	50195	26845	32546	77522	57241	40454	44414	48994	48784	27045	31896	78032	54991	39643	43174	48124	47474	26995	31666	80672	54691	39653	42264	47504	46274	27735	31536	85002	58941	41954	44714	50845	50075	27535	30376	92853	65842	45924	48804	55625	55045	29415	30716	97393	72502	49864	53195	59765	59085	32836	36117	99333	76432	53845	58315	64616	64446	34446	39637	101423	77702	55135	59535	65826	65786	35397	40468
1017	60262	44901	22592	25232	34903	35713	17483	18353	62802	47361	23492	27412	36413	37593	18153	20734	65082	49251	23722	28652	37733	40254	17323	20724	65202	52621	24382	30853	38263	40544	18093	23034	70402	53851	26042	33153	39993	43244	19693	26315	74652	60422	28082	36963	42544	46654	21474	30426	79522	64912	29712	39543	46504	52635	21594	29695	85052	68102	30903	41944	49464	56995	22234	31396	87152	69852	32133	42594	51295	59195	23064	30736	88652	67152	32303	42354	51845	59025	22974	30666	93133	69392	33823	43074	52945	60576	24124	30816	103863	73542	37823	44334	55165	65226	25705	29695	111283	79342	42114	47354	60216	70967	28525	30436	114923	85852	46574	53285	66176	78817	31606	35027	116303	90383	48534	56845	69986	84368	32106	37427	117893	93983	50715	60296	71927	88848	33876	40148
